accDefRate,accExamCnt,accExamCompCnt,careCnt,clearCnt,createDt,deathCnt,decideCnt,examCnt,resutlNegCnt,seq,stateDt,stateTime,updateDt
1.0342238087,2322999.0,2302403.0,1809.0,21590,2020-09-30 09:32:00.223,413,23812,20596,2278591.0,277,20200930,00:00,null
1.0342238087,2322999.0,2302403.0,1808.0,21591,2020-09-30 09:32:00.223,413,23812,20596,2278591.0,277,20200930,00:00,2020-09-30 18:56:19.249
1.0335422601,2313044.0,2292988.0,1822.0,21470,2020-09-29 09:40:16.798,407,23699,20056,2269289.0,276,20200929,00:00,null
1.0365284161,2301303.0,2282716.0,1963.0,21292,2020-09-28 10:25:15.422,406,23661,18587,2259055.0,275,20200928,00:00,null
1.0366436472,2296517.0,2277639.0,1962.0,21248,2020-09-27 10:12:36.066,401,23611,18878,2254028.0,274,20200927,00:00,null
1.0351094730,2290345.0,2271837.0,1951.0,21166,2020-09-26 10:01:53.253,399,23516,18508,2248321.0,273,20200926,00:00,null
1.0375100466,2280276.0,2260701.0,2082.0,20978,2020-09-25 09:56:13.802,395,23455,19575,2237246.0,272,20200925,00:00,null
1.0382004939,2268999.0,2248217.0,2116.0,20832,2020-09-24 10:06:21.95,393,23341,20782,2224876.0,271,20200924,00:00,null
1.0381099387,2256899.0,2236372.0,2178.0,20650,2020-09-23 10:10:59.643,388,23216,20527,2213156.0,270,20200923,00:00,null
1.0399254688,2245112.0,2221890.0,2277.0,20441,2020-09-22 10:08:48.145,388,23106,23222,2198784.0,269,20200922,00:00,null
1.0432072023,2231589.0,2209053.0,2412.0,20248,2020-09-21 10:01:42.98,385,23045,22536,2186008.0,268,20200921,00:00,null
1.0431673785,2226701.0,2202427.0,2434.0,20158,2020-09-20 09:52:54.024,383,22975,24274,2179452.0,267,20200920,00:00,null
1.0432193476,2219162.0,2194457.0,2545.0,19970,2020-09-19 10:09:15.94,378,22893,24705,2171564.0,266,20200919,00:00,null
1.0446307638,2206365.0,2180962.0,2635.0,19771,2020-09-18 09:58:09.847,377,22783,25403,2158179.0,265,20200918,00:00,null
1.0458441347,2191892.0,2166384.0,2742.0,19543,2020-09-17 10:09:16.903,372,22657,25508,2143727.0,264,20200917,00:00,null
1.0452440559,2178832.0,2152990.0,2827.0,19310,2020-09-16 09:37:10.616,367,22504,25842,2130486.0,263,20200916,00:00,null
1.0476458731,2164578.0,2137268.0,3146.0,18878,2020-09-15 09:48:41.78,367,22391,27310,2114877.0,262,20200915,00:00,null
1.0494338190,2151002.0,2123526.0,3433.0,18489,2020-09-14 09:54:39.941,363,22285,27476,2101241.0,261,20200914,00:00,null
1.0482306145,2143270.0,2115565.0,3592.0,18226,2020-09-13 11:05:38.708,358,22176,27705,2093389.0,260,20200913,00:00,null
1.0464355477,2135457.0,2107631.0,3671.0,18029,2020-09-12 10:03:19.762,355,22055,27826,2085576.0,259,20200912,00:00,null
1.0488623726,2119211.0,2089788.0,3953.0,17616,2020-09-11 09:34:22.301,350,21919,29423,2067869.0,258,20200911,00:00,null
1.0521283303,2099591.0,2066573.0,4037.0,17360,2020-09-10 09:43:44.767,346,21743,33018,2044830.0,257,20200910,00:00,null
1.0552861830,2082234.0,2045701.0,4221.0,17023,2020-09-09 10:04:44.84,344,21588,36533,2024113.0,256,20200909,00:00,null
1.0595696462,2066078.0,2022708.0,4455.0,16636,2020-09-08 09:34:17.322,341,21432,43370,2001276.0,255,20200908,00:00,null
1.0625749680,2051297.0,2004188.0,4663.0,16297,2020-09-07 09:34:31.98,336,21296,47109,1982892.0,254,20200907,00:00,null
1.0608050637,2045935.0,1996314.0,4697.0,16146,2020-09-06 09:48:30.763,334,21177,49621,1975137.0,253,20200906,00:00,null
1.0584553504,2037045.0,1984968.0,4668.0,16009,2020-09-05 09:34:11.934,333,21010,52077,1963958.0,252,20200905,00:00,null
1.0597770817,2018906.0,1966640.0,4728.0,15783,2020-09-04 09:46:40.727,331,20842,52266,1945798.0,251,20200904,00:00,null
1.0613728954,2000552.0,1945028.0,4786.0,15529,2020-09-03 09:37:35.778,329,20644,55524,1924384.0,250,20200903,00:00,null
1.0630881387,1980295.0,1923547.0,4767.0,15356,2020-09-02 10:20:17.634,326,20449,56748,1903098.0,249,20200902,00:00,null
1.0609056124,1959080.0,1902337.0,4660.0,15198,2020-09-01 09:32:28.222,324,20182,56743,1882155.0,248,20200901,00:00,null
1.0611161854,1937689.0,1879813.0,4650.0,14973,2020-08-31 09:32:30.212,324,19947,57876,1859866.0,247,20200831,00:00,null
1.0555963109,1924170.0,1866149.0,4473.0,14903,2020-08-30 09:37:35.21,323,19699,58021,1846450.0,246,20200830,00:00,null
1.0456625754,1909329.0,1855283.0,4314.0,14765,2020-08-29 09:56:02.115,321,19400,54046,1835883.0,245,20200829,00:00,null
1.0384832711,1887717.0,1837006.0,4210.0,14551,2020-08-28 09:39:46.063,316,19077,50711,1817929.0,244,20200828,00:00,null
1.0291944377,1869579.0,1817538.0,3932.0,14461,2020-08-27 10:15:47.305,313,18706,52041,1798832.0,243,20200827,00:00,null
1.0165797393,1849506.0,1796711.0,3585.0,14368,2020-08-26 10:20:54.096,312,18265,52795,1778446.0,242,20200826,00:00,null
1.0107154423,1825837.0,1775475.0,3349.0,14286,2020-08-25 10:23:00.215,310,17945,50362,1757530.0,241,20200825,00:00,null
1.0057349380,1804422.0,1756427.0,3137.0,14219,2020-08-24 10:17:43.752,309,17665,47995,1738762.0,240,20200824,00:00,null
0.9978653630,1791186.0,1743622.0,2890.0,14200,2020-08-23 10:21:59.464,309,17399,47564,1726223.0,239,20200823,00:00,null
0.9808621687,1775800.0,1733373.0,2524.0,14169,2020-08-22 10:15:55.539,309,17002,42427,1716371.0,238,20200822,00:00,null
0.9714010668,1754123.0,1716078.0,2241.0,14120,2020-08-21 10:21:09.752,309,16670,38045,1699408.0,237,20200821,00:00,null
0.9620472195,1734083.0,1699085.0,1976.0,14063,2020-08-20 10:13:52.572,307,16346,34998,1682739.0,236,20200820,00:00,null
0.9535391635,1715064.0,1684042.0,1746.0,14006,2020-08-19 10:12:19.406,306,16058,31022,1667984.0,235,20200819,00:00,null
0.9427433406,1697042.0,1671823.0,1521.0,13934,2020-08-18 10:13:01.496,306,15761,25219,1656062.0,234,20200818,00:00,null
0.9315487305,1688470.0,1665506.0,1293.0,13917,2020-08-18 09:12:22.918,305,15515,22964,1649991.0,233,20200817,00:00,null
0.9228922834,1681787.0,1659782.0,1103.0,13910,2020-08-16 10:33:30.845,305,15318,22005,1644464.0,232,20200816,00:00,null
0.9094273492,1675296.0,1653678.0,833.0,13901,2020-08-15 09:04:10.134,305,15039,21618,1638639.0,231,20200815,00:00,null
0.9041601213,1665084.0,1644952.0,705.0,13863,2020-08-14 10:25:20.167,305,14873,20132,1630079.0,230,20200814,00:00,null
0.9022051188,1654898.0,1637100.0,648.0,13817,2020-08-13 10:26:12.732,305,14770,17798,1622330.0,229,20200813,00:00,null
0.9030999639,1646652.0,1629277.0,623.0,13786,2020-08-12 10:41:22.169,305,14714,17375,1614563.0,228,20200812,00:00,null
0.9047400106,1637844.0,1620355.0,626.0,13729,2020-08-11 10:28:36.961,305,14660,17489,1605695.0,227,20200811,00:00,null
0.9073724476,1628303.0,1611907.0,663.0,13658,2020-08-10 10:37:49.213,305,14626,16396,1597281.0,226,20200810,00:00,null
0.9079222090,1624650.0,1607847.0,651.0,13642,2020-08-09 10:42:31.546,305,14598,16803,1593249.0,225,20200809,00:00,null
0.9076239288,1620514.0,1604409.0,629.0,13629,2020-08-08 10:18:57.161,304,14562,16105,1589847.0,224,20200808,00:00,null
0.9093790242,1613652.0,1596584.0,673.0,13543,2020-08-07 10:11:42.66,303,14519,17068,1582065.0,223,20200807,00:00,null
0.9127731583,1606487.0,1588456.0,696.0,13501,2020-08-06 10:22:46.898,302,14499,18031,1573957.0,222,20200806,00:00,null
0.9151122018,1598187.0,1579697.0,748.0,13406,2020-08-05 10:20:58.194,302,14456,18490,1565241.0,221,20200805,00:00,null
0.9180449328,1589780.0,1571056.0,770.0,13352,2020-08-04 10:49:58.56,301,14423,18724,1556633.0,220,20200804,00:00,null
0.9209808775,1579757.0,1562356.0,808.0,13280,2020-08-03 10:22:38.424,301,14389,17401,1547967.0,219,20200803,00:00,null
0.9217967786,1576246.0,1558478.0,806.0,13259,2020-08-02 12:17:01.037,301,14366,17768,1544112.0,218,20200802,00:00,null
0.9227885516,1571830.0,1553552.0,802.0,13233,2020-08-01 10:20:04.002,301,14336,18278,1539216.0,217,20200801,00:00,null
0.9256107866,1563796.0,1545466.0,821.0,13183,2020-07-31 10:36:44.935,301,14305,18330,1531161.0,216,20200731,00:00,null
0.9282479734,1556215.0,1537197.0,837.0,13132,2020-07-30 11:11:23.001,300,14269,19018,1522928.0,215,20200730,00:00,2020-07-30 11:14:10.775
0.9326686653,1547307.0,1527981.0,882.0,13069,2020-07-29 10:44:55.248,300,14251,19326,1513730.0,214,20200729,00:00,null
0.9360953297,1537704.0,1517260.0,896.0,13007,2020-07-28 10:31:12.133,300,14203,20444,1503057.0,213,20200728,00:00,null
0.9398595945,1526974.0,1508204.0,971.0,12905,2020-07-27 10:35:55.409,299,14175,18770,1494029.0,212,20200727,00:00,null
0.9410046604,1522926.0,1503712.0,962.0,12890,2020-07-26 10:28:23.583,298,14150,19214,1489562.0,211,20200726,00:00,null
0.9401228724,1518634.0,1498953.0,928.0,12866,2020-07-25 10:19:50.222,298,14092,19681,1484861.0,210,20200725,00:00,null
0.9383340224,1510327.0,1489768.0,864.0,12817,2020-07-24 11:05:47.968,298,13979,20559,1475789.0,209,20200724,00:00,null
0.9421157792,1500854.0,1479436.0,883.0,12758,2020-07-23 10:38:02.297,297,13938,21418,1465498.0,208,20200723,00:00,null
0.9439441754,1492071.0,1470320.0,884.0,12698,2020-07-22 10:27:17.21,297,13879,21751,1456441.0,207,20200722,00:00,null
0.9472577108,1482390.0,1458526.0,877.0,12643,2020-07-21 11:07:32.302,296,13816,23864,1444710.0,206,20200721,00:00,null
0.9504510691,1470193.0,1448891.0,903.0,12572,2020-07-20 10:55:19.896,296,13771,21302,1435120.0,205,20200720,00:00,null
0.9523011114,1465299.0,1443346.0,894.0,12556,2020-07-19 10:19:04.08,295,13745,21953,1429601.0,204,20200719,00:00,null
0.9539540284,1460204.0,1437281.0,898.0,12519,2020-07-18 10:13:20.679,294,13711,22923,1423570.0,203,20200718,00:00,null
0.9574853264,1451017.0,1427907.0,919.0,12460,2020-07-17 10:40:48.691,293,13672,23110,1414235.0,202,20200717,00:00,null
0.9599814943,1441348.0,1417944.0,925.0,12396,2020-07-16 10:44:37.828,291,13612,23404,1404332.0,201,20200716,00:00,null
0.9624159901,1431316.0,1408019.0,914.0,12348,2020-07-15 10:38:15.025,289,13551,23297,1394468.0,200,20200715,00:00,null
0.9676816390,1420616.0,1396327.0,941.0,12282,2020-07-14 10:42:51.773,289,13512,24289,1382815.0,199,20200714,00:00,null
0.9721832542,1408312.0,1386467.0,986.0,12204,2020-07-13 10:20:51.913,289,13479,21845,1372988.0,198,20200713,00:00,null
0.9720252058,1402144.0,1380314.0,950.0,12178,2020-07-12 10:21:53.323,289,13417,21830,1366897.0,197,20200712,00:00,null
0.9732960405,1396941.0,1373991.0,941.0,12144,2020-07-11 10:24:19.527,288,13373,22950,1360618.0,196,20200711,00:00,null
0.9797533795,1384890.0,1361363.0,985.0,12065,2020-07-10 10:16:34.916,288,13338,23527,1348025.0,195,20200710,00:00,null
0.9862307555,1371771.0,1347859.0,987.0,12019,2020-07-09 10:50:30.028,287,13293,23912,1334566.0,194,20200709,00:00,null
0.9914488194,1359734.0,1335722.0,989.0,11970,2020-07-08 10:19:47.422,285,13244,24012,1322479.0,193,20200708,00:00,null
0.9966586491,1346194.0,1322519.0,982.0,11914,2020-07-07 10:15:15.306,285,13181,23675,1309338.0,192,20200707,00:00,null
1.0024387563,1331796.0,1310504.0,1005.0,11848,2020-07-06 10:42:19.893,284,13137,21292,1297367.0,191,20200706,00:00,null
1.0034452463,1326055.0,1304406.0,976.0,11832,2020-07-05 10:25:25.534,283,13091,21649,1291317.0,190,20200705,00:00,null
1.0043169904,1319521.0,1297200.0,936.0,11811,2020-07-04 10:13:42.477,283,13030,22321,1284172.0,189,20200704,00:00,null
1.0080073021,1307761.0,1286201.0,926.0,11759,2020-07-03 10:19:07.857,282,12967,21560,1273234.0,188,20200703,00:00,null
1.0111426287,1295962.0,1276180.0,938.0,11684,2020-07-02 10:27:02.501,282,12904,19782,1263276.0,187,20200702,00:00,null
1.0152444684,1285231.0,1265705.0,955.0,11613,2020-07-01 10:35:05.507,282,12850,19526,1252855.0,186,20200701,00:00,null
1.0215043465,1273765.0,1252956.0,981.0,11537,2020-06-30 11:19:14.228,282,12800,20809,1240157.0,185,20200630,00:00,null
1.0275845681,1259954.0,1241455.0,1046.0,11429,2020-06-29 10:29:35.516,282,12757,18499,1228698.0,184,20200629,00:00,2020-06-29 11:00:25.815
1.0314839902,1251695.0,1232690.0,1069.0,11364,2020-06-28 10:29:27.331,282,12715,19005,1219975.0,183,20200628,00:00,null
1.0338144673,1243780.0,1223914.0,1054.0,11317,2020-06-27 10:47:04.557,282,12653,19866,1211261.0,182,20200627,00:00,null
1.0384948499,1232315.0,1213487.0,1148.0,11172,2020-06-26 10:13:35.473,282,12602,18828,1200885.0,181,20200626,00:00,null
1.0455417792,1220478.0,1201578.0,1307.0,10974,2020-06-25 10:19:08.891,282,12563,18900,1189015.0,180,20200625,00:00,null
1.0548221402,1208597.0,1188352.0,1324.0,10930,2020-06-24 10:31:42.772,281,12535,20245,1175817.0,179,20200624,00:00,null
1.0636140726,1196012.0,1173734.0,1295.0,10908,2020-06-23 10:41:13.976,281,12484,22278,1161250.0,178,20200623,00:00,null
1.0697854838,1182066.0,1162663.0,1277.0,10881,2020-06-22 11:40:10.577,280,12438,19403,1150225.0,177,20200622,00:00,null
1.0741167355,1176463.0,1156392.0,1273.0,10868,2020-06-21 10:10:23.157,280,12421,20071,1143971.0,176,20200621,00:00,null
1.0764456500,1170901.0,1149431.0,1237.0,10856,2020-06-20 10:14:21.623,280,12373,21470,1137058.0,175,20200620,00:00,null
1.0824428058,1158063.0,1136873.0,1191.0,10835,2020-06-19 10:32:23.743,280,12306,21190,1124567.0,174,20200619,00:00,null
1.0904823674,1145712.0,1123998.0,1177.0,10800,2020-06-18 10:12:45.408,280,12257,21714,1111741.0,173,20200618,00:00,null
1.0975998214,1132823.0,1111334.0,1145.0,10774,2020-06-17 10:14:34.423,279,12198,21489,1099136.0,172,20200617,00:00,null
1.1078855382,1119767.0,1097135.0,1117.0,10760,2020-06-16 10:16:46.75,278,12155,22632,1084980.0,171,20200616,00:00,null
1.1172190545,1105719.0,1084926.0,1114.0,10730,2020-06-15 10:16:22.312,277,12121,20793,1072805.0,170,20200615,00:00,null
1.1199559580,1100327.0,1078971.0,1090.0,10718,2020-06-14 10:19:17.655,277,12085,21356,1066887.0,169,20200614,00:00,null
1.1247480984,1094703.0,1071351.0,1083.0,10691,2020-06-13 10:11:42.777,277,12051,23352,1059301.0,168,20200613,00:00,null
1.1352178592,1081486.0,1057242.0,1057.0,10669,2020-06-12 10:22:23.274,277,12003,24244,1045240.0,167,20200612,00:00,null
1.1471173706,1066887.0,1041393.0,1017.0,10654,2020-06-11 10:30:28.32,276,11947,25494,1029447.0,166,20200611,00:00,null
1.1602264883,1051971.0,1025748.0,1015.0,10611,2020-06-10 10:13:47.554,276,11902,26223,1013847.0,165,20200610,00:00,null
1.1750684407,1035996.0,1008537.0,989.0,10589,2020-06-09 10:08:46.492,274,11852,27459,996686.0,164,20200609,00:00,null
1.1886231069,1018213.0,993839.0,978.0,10563,2020-06-08 10:14:00.756,273,11814,24374,982026.0,163,20200608,00:00,null
1.1939717405,1012769.0,986288.0,951.0,10552,2020-06-07 10:20:08.998,273,11776,26481,974512.0,162,20200607,00:00,null
1.1990574522,1005305.0,977351.0,915.0,10531,2020-06-06 10:49:23.14,273,11719,27954,965632.0,161,20200606,00:00,null
1.2126452669,990960.0,962194.0,889.0,10506,2020-06-05 10:56:50.891,273,11668,28766,950526.0,160,20200605,00:00,null
1.2297244567,973858.0,945659.0,857.0,10499,2020-06-04 10:27:45.93,273,11629,28199,934030.0,159,20200604,00:00,null
1.2475954991,956852.0,928987.0,850.0,10467,2020-06-03 10:25:46.26,273,11590,27865,917397.0,158,20200603,00:00,null
1.2669483571,939851.0,910929.0,823.0,10446,2020-06-02 10:15:46.159,272,11541,28922,899388.0,157,20200602,00:00,null
